Subject,Course,Detail,Course_code,Title,science_credits,discipline_credit,isci_courses,honorary_credits
KIN,486,B,KIN 486B,Advanced Seminar in Psychology of Movement,,3,,
KIN,486,C,KIN 486C,Advanced Seminar in Psychology of Movement,,3,,
KIN,490,,KIN 490,Directed Studies in Kinesiology,,3,,
KIN,492,,KIN 492,Undergraduate Research Experience in Kinesiology,,6,,
MRNE,400,A,MRNE 400A,Directed Studies,6,6,,
MRNE,415,,MRNE 415,Structure and Function in Marine Animals,3,3,,
MRNE,425,,MRNE 425,Ecological Adaptations of Seaweeds,3,3,,
MRNE,437,,MRNE 437,Population and Community Ecology of Marine Organisms,3,3,,
MRNE,480,,MRNE 480,Seminars and Papers in Marine Science,3,3,,
MATH,300,,MATH 300,Introduction to Complex Variables,3,3,,
MATH,301,,MATH 301,Applied Analysis,3,3,,
MATH,302,,MATH 302,Introduction to Probability,3,3,,
MATH,303,,MATH 303,Introduction to Stochastic Processes,3,3,,
MATH,305,,MATH 305,Applied Complex Analysis,3,3,,
MATH,307,,MATH 307,Applied Linear Algebra,3,3,,
MATH,308,,MATH 308,Euclidean Geometry,3,3,,
MATH,310,,MATH 310,Abstract Linear Algebra,3,3,,
MATH,312,,MATH 312,Introduction to Number Theory,3,3,,
MATH,313,,MATH 313,Topics in Number Theory,3,3,,
MATH,316,,MATH 316,Elementary Differential Equations II,3,3,,
MATH,317,,MATH 317,Calculus IV,3,3,,
MATH,318,,MATH 318,Probability with Physical Applications,3,3,,
MATH,319,,MATH 319,Introduction to Real Analysis,3,3,,
MATH,320,,MATH 320,Real Variables I,3,3,,
MATH,321,,MATH 321,Real Variables II,3,3,,
MATH,322,,MATH 322,Introduction to Group Theory,3,3,,
MATH,323,,MATH 323,Introduction to Rings and Modules,3,3,,
MATH,335,,MATH 335,Introduction to Mathematics,,,,
MATH,340,,MATH 340,Introduction to Linear Programming,3,3,,
MATH,341,,MATH 341,Introduction to Discrete Mathematics,3,3,,
MATH,342,,MATH 342,Algebra and Coding Theory,3,3,,
MATH,344,,MATH 344,Mathematical Game Theory,3,3,,
MATH,345,,MATH 345,Applied Nonlinear Dynamics and Chaos,3,3,,
MATH,360,,MATH 360,Introduction to Mathematical Modelling,3,3,,
MATH,400,,MATH 400,Applied Partial Differential Equations,3,3,,
MATH,401,,MATH 401,Green's Functions and Variational Methods,3,3,,
MATH,402,,MATH 402,Calculus of Variations,3,3,,
MATH,405,,MATH 405,Numerical Methods for Differential Equations,3,3,,
MATH,406,,MATH 406,Variational and Approximate Methods in Applied Mathematics,3,3,,
MATH,418,,MATH 418,Probability,3,3,,
MATH,420,,MATH 420,Real Analysis I,3,3,,
MATH,421,,MATH 421,Real Analysis II,3,3,,
MATH,422,,MATH 422,Fields and Galois Theory,3,3,,
MATH,423,,MATH 423,Commutative Algebra,3,3,,
MATH,425,,MATH 425,Introduction to Modern Differential Geometry,3,3,,
MATH,426,,MATH 426,Introduction to Topology,3,3,,
MATH,437,,MATH 437,Number Theory,3,3,,
MATH,440,,MATH 440,Complex Analysis,3,3,,
MATH,441,,MATH 441,Mathematical Modelling: Discrete Optimization Problems,3,3,,
MATH,442,,MATH 442,Graphs and Networks,3,3,,
MATH,443,,MATH 443,Graph Theory,3,3,,
MATH,444,,MATH 444,Mathematical Research and Writing,3,3,,
MATH,446,,MATH 446,Topics in the History of Mathematics I,3,3,,
MICB,301,,MICB 301,Microbial Ecophysiology,3,3,,
MICB,302,,MICB 302,Immunology,3,3,,
MICB,306,,MICB 306,Molecular Virology,3,3,,
MICB,308,,MICB 308,Paradigms in Bacterial Pathogenesis,3,3,,
MICB,322,,MICB 322,Molecular Microbiology Laboratory,3,3,,
MICB,323,,MICB 323,Molecular Immunology and Virology Laboratory,3,3,,
MICB,325,,MICB 325,Analysis of Microbial Genes and Genomes,3,3,,
MICB,353,,MICB 353,Food Microbiology Laboratory,1,1,,
MICB,402,,MICB 402,Advanced Immunology,3,3,,
MICB,404,,MICB 404,Topics in Molecular Bacterial Pathogenesis,3,3,,
MICB,405,,MICB 405,Bioinformatics,3,3,,
MICB,406,,MICB 406,Topics in Molecular Virology,3,3,,
MICB,407,,MICB 407,Viral Infections in Humans.,3,3,,
MICB,408,,MICB 408,Advanced Bacterial Pathogenesis,3,3,,
MICB,412,,MICB 412,Topics in Immunological Research,3,3,,
MICB,413,,MICB 413,Topics in Microbiome Research,3,3,,
MICB,418,,MICB 418,Industrial Microbiology and Biotechnology,3,3,,
MICB,425,,MICB 425,Microbial Ecological Genomics,3,3,,
MICB,430,A,MICB 430A,Seminar in Microbiological Literature,3,3,,
MICB,448,C,MICB 448C,Directed Research,6,6,,
MICB,449,,MICB 449,Research Problem,6,6,,
MICB,471,,MICB 471,Laboratory Research in Microbiology and Immunology,3,3,,
MICB,475,,MICB 475,Data Science Research in Microbiology and Immunology,3,3,,
MEDG,419,,MEDG 419,Developmental Origin of Human Disorders,3,3,,
MEDG,420,,MEDG 420,Human Genomics and Medical Genetics,3,3,,
MEDG,421,,MEDG 421,Genetics and Cell Biology of Cancer,3,3,,
NSCI,300,,NSCI 300,Laboratory Techniques for the Neurosciences,3,3,,
NSCI,301,,NSCI 301,"Neuroscience, Ethics, and Society",3,3,,
NSCI,302,,NSCI 302,Mechanisms of Nervous System Dysfunction and Recovery,3,3,,
NSCI,303,,NSCI 303,Foundations of Computational Neuroscience,3,3,,
NSCI,311,,NSCI 311,Advanced Neuroanatomy,3,3,,
NSCI,448,,NSCI 448,Directed Studies in Neuroscience,6,6,,
PATH,300,,PATH 300,Background to Medical Laboratory Science,,6,,
PATH,301,,PATH 301,Basic and Physical Biochemistry in Medical Laboratory Science,,4,,
PATH,303,,PATH 303,"Cytogenetics, Molecular Genetics, Tissue Culture & Cytology",,4,,
PATH,304,,PATH 304,Normal Human Histology,,4,,
PATH,305,,PATH 305,Modern Microscopy,,3,,
PATH,306,,PATH 306,Safety for Medical Laboratory Scientists,,2,,
PATH,327,,PATH 327,"Bacteriology, Mycology, Virology and Parasitology",,4,,
PATH,375,,PATH 375,Introduction to Human Pathology,,3,,3
PATH,402,,PATH 402,Medical Laboratory Science: Hematology,,4,,
PATH,404,,PATH 404,Diagnostic Histochemistry,,6,,
PATH,405,,PATH 405,Seminars in Current Topics,,3,,
PATH,406,,PATH 406,Clinical Chemistry,,6,,
PATH,407,,PATH 407,"Medical Laboratory Toxicology: Analytical, Clinical",,3,,
PATH,408,,PATH 408,Research and Career Skills,,3,,
PATH,415,,PATH 415,Immunopathology,,2,,
PATH,417,A,PATH 417A,Human Bacterial Infections,,3,,3
PATH,477,,PATH 477,Basic Epidemiology for Infection Control,,3,,
PCTH,301,,PCTH 301,Introduction to Pharmacology,3,3,,
PCTH,302,,PCTH 302,Introductory Pharmacology Laboratory,3,3,,
PCTH,303,,PCTH 303,Pharmacology in Health and Disease,3,3,,
PCTH,325,,PCTH 325,Rational Basis of Drug Therapy,3,3,,
PCTH,400,,PCTH 400,Systematic Pharmacology,6,6,,
PCTH,404,,PCTH 404,Drug Assay and Pharmacometrics,3,3,,
PCTH,448,E,PCTH 448E,Directed Studies in Pharmacology,6,6,,
PHYS,301,,PHYS 301,Electricity and Magnetism,3,3,,
PHYS,304,,PHYS 304,Introduction to Quantum Mechanics,3,3,,
PHYS,305,,PHYS 305,Introduction to Biophysics,3,3,,
PHYS,306,,PHYS 306,Advanced Mechanics,3,3,,
PHYS,309,,PHYS 309,Electrical Laboratory,3,3,,
PHYS,310,,PHYS 310,Machine Learning for Physics and Astronomy Data Analysis,3,3,,
PHYS,312,,PHYS 312,Introduction to Mathematical Physics,3,3,,
PHYS,319,,PHYS 319,Electronics Laboratory,3,3,,
PHYS,333,,PHYS 333,Energy and Climate,3,3,,
PHYS,341,,PHYS 341,Physics of Music,,,,
PHYS,348,,PHYS 348,Frontiers in Physics and Astronomy,3,3,,
PHYS,350,,PHYS 350,Applications of Classical Mechanics,3,3,,
PHYS,400,,PHYS 400,Introduction to Elementary Particles,3,3,,
PHYS,401,,PHYS 401,Electromagnetic Theory,3,3,,
PHYS,402,,PHYS 402,Applications of Quantum Mechanics,3,3,,
PHYS,403,,PHYS 403,Statistical Mechanics,3,3,,
PHYS,404,,PHYS 404,Introduction to Medical Physics,3,3,,
PHYS,405,,PHYS 405,Radiation Biophysics,3,3,,
PHYS,407,,PHYS 407,Introduction to General Relativity,3,3,,
PHYS,408,,PHYS 408,Optics,4,4,,
PHYS,409,A,PHYS 409A,Experimental Physics,3,3,,
PHYS,409,B,PHYS 409B,Experimental Physics,3,3,,
PHYS,410,,PHYS 410,Computational Physics,3,3,,
PHYS,438,,PHYS 438,Zoological Physics,3,3,,
PHYS,449,,PHYS 449,Honours Thesis,6,6,,
PHYS,473,,PHYS 473,Applied Nuclear Physics,3,3,,
PHYS,474,,PHYS 474,Applied Solid State Physics,3,3,,
PSYC,300,A,PSYC 300A,Abnormal Psychology,,3,,
PSYC,301,,PSYC 301,Brain Dysfunction and Recovery,,3,,3
PSYC,302,,PSYC 302,Infancy,,3,,
PSYC,303,,PSYC 303,Tests and Measurements,,3,,
PSYC,304,,PSYC 304,Brain and Behaviour,,6,,6
PSYC,305,A,PSYC 305A,Personality Psychology,,3,,
PSYC,306,A,PSYC 306A,Principles of Animal Behaviour,,3,,
PSYC,307,,PSYC 307,Cultural Psychology,,3,,
PSYC,308,A,PSYC 308A,Social Psychology,,3,,
PSYC,309,A,PSYC 309A,Cognitive Processes,,3,,
PSYC,311,,PSYC 311,Psychology of Sport,,3,,
PSYC,312,A,PSYC 312A,History of Psychology,,3,,
PSYC,314,,PSYC 314,Health Psychology,,3,,
PSYC,315,,PSYC 315,Childhood and Adolescence,,3,,
PSYC,319,,PSYC 319,Applied Developmental Psychology,,3,,
PSYC,320,A,PSYC 320A,Psychology of Sex Differences,,3,,
PSYC,322,,PSYC 322,Adulthood and Aging,,3,,
PSYC,325,,PSYC 325,Socialization: Media Content and Effects,,3,,
PSYC,333,,PSYC 333,"Memory: Historical, Clinical and Cognitive Perspectives",,3,,
PSYC,335,,PSYC 335,Gambling and Decision Making,,3,,
PSYC,336,,PSYC 336,The Psychology of Language I,,3,,
PSYC,340,B,PSYC 340B,Directed Studies in Psychology,,6,,
PSYC,340,E,PSYC 340E,Directed Studies in Psychology,,6,,
PSYC,349,,PSYC 349,Honours Seminar,,6,,
PSYC,350,A,PSYC 350A,Psychological Aspects of Human Sexuality,,3,,
PSYC,358,,PSYC 358,Evolutionary Psychology,,3,,
PSYC,359,,PSYC 359,Advanced Research Methods in Behavioural Sciences,,3,,
PSYC,361,,PSYC 361,Neuroscience of Motivation,3,3,,
PSYC,363,,PSYC 363,Neuroscience of Simple Learning,3,3,,
PSYC,365,,PSYC 365,Cognitive Neuroscience,3,3,,
PSYC,367,,PSYC 367,Sensory Systems,3,3,,
PSYC,368,,PSYC 368,Perceptual Processing,3,3,,
PSYC,370,,PSYC 370,Behavioural and Cognitive Neuroscience I,3,3,,
PSYC,371,,PSYC 371,Behavioural and Cognitive Neuroscience II,3,3,,
PSYC,388,E,PSYC 388E,Directed Studies in Behavioural Neuroscience,6,6,,
PSYC,401,,PSYC 401,Clinical Psychology,,3,,
PSYC,409,,PSYC 409,Cognitive Neuropsychology,,3,,
PSYC,413,,PSYC 413,Social and Personality Development,,3,,
PSYC,417,A,PSYC 417A,Special Topics in Psychology,,3,,
PSYC,421,,PSYC 421,Environmental Psychology,,3,,
PSYC,427,,PSYC 427,Advanced Seminar in Psychology,,3,,
PSYC,440,E,PSYC 440E,Directed Studies in Psychology,,6,,
PSYC,449,,PSYC 449,Honours Seminar and Essay,,6,,
PSYC,460,,PSYC 460,Behavioural Neuroendocrinology,3,3,,
PSYC,461,,PSYC 461,Neuroplasticity and Behaviour,3,3,,
PSYC,462,,PSYC 462,Drugs and Behavioural Neuroscience,3,3,,
PSYC,472,,PSYC 472,Advanced Neuroscience of Motivation,3,3,,
PSYC,488,E,PSYC 488E,Directed Studies in Behavioural Neuroscience,6,6,,
RADS,301,,RADS 301,Exploring Imaging in the Twenty-First Century,,3,,3
SCIE,300,,SCIE 300,Communicating Science,3,3,,
SOWK,305,C,SOWK 305C,Topics in Social Work Practice I,,3,,
SOWK,305,G,SOWK 305G,Topics in Social Work Practice I,,3,,
SOWK,305,I,SOWK 305I,Topics in Social Work Practice I,,3,,
SOWK,310,A,SOWK 310A,Interviewing Skills,,6,,
SOWK,316,,SOWK 316,"Integrative Seminar in Social Work Theory, Policy and Practice",,3,,
SOWK,325,,SOWK 325,Indigenous Peoples and Critical Social Work Analysis,,3,,
SOWK,335,,SOWK 335,Topics in Social Analysis for Social Work Practice,,3,,
SOWK,337,,SOWK 337,Culture and Race in Social Work Practice,,3,,
SOWK,400,,SOWK 400,Canadian Social Policy,,3,,
SOWK,405,,SOWK 405,Social Work Practice II,,3,,
SOWK,416,,SOWK 416,"Advanced Integrative Seminar in Social Work Theory, Policy and Practice",,3,,
SOWK,420,,SOWK 420,Introduction to Social Work Research,,3,,
SOWK,440,B,SOWK 440B,Integrative Seminars in Social Work,,3,,
SOWK,440,C,SOWK 440C,Integrative Seminars in Social Work,,3,,
SOWK,440,K,SOWK 440K,Integrative Seminars in Social Work,,3,,
SOWK,440,Q,SOWK 440Q,Integrative Seminars in Social Work,,3,,
SOWK,441,,SOWK 441,Social Context of Child Development,,3,,
SOWK,442,,SOWK 442,Policy and Practice in Child Welfare,,3,,
SOWK,450,,SOWK 450,Social Work Practice in Community Mental Health,,3,,
SPPH,300,,SPPH 300,Working in International Health,,3,,
SPPH,301,,SPPH 301,Understanding the Sociocultural Determinants of the Health of Populations,,3,,
SPPH,302,,SPPH 302,Topics in Health Informatics for Health/Life Sciences Students,,3,,
SPPH,381,A,SPPH 381A,Selected Topics,,3,,
SPPH,381,C,SPPH 381C,Selected Topics,,3,,
SPPH,381,D,SPPH 381D,Selected Topics,,3,,
SPPH,381,E,SPPH 381E,Selected Topics,,3,,
SPPH,400,,SPPH 400,Statistics for Health Research,,3,,
SPPH,404,,SPPH 404,Indigenous Health: Historical Impacts and Contemporary Approaches,,3,,
SPPH,410,,SPPH 410,Improving Public Health: An Interprofessional Approach to Designing and Implementing Effective Interventions,,3,,
SPPH,481,D,SPPH 481D,Special Topics in Population and Public Health,,3,,
STAT,300,,STAT 300,Intermediate Statistics for Applications,3,3,,
STAT,301,,STAT 301,Statistical Modelling for Data Science,3,3,,
STAT,302,,STAT 302,Introduction to Probability,3,3,,
STAT,305,,STAT 305,Introduction to Statistical Inference,3,3,,
STAT,306,,STAT 306,Finding Relationships in Data,3,3,,
STAT,344,,STAT 344,Sample Surveys,3,3,,
STAT,404,,STAT 404,Design and Analysis of Experiments,3,3,,
STAT,406,,STAT 406,Methods for Statistical Learning,3,3,,
STAT,443,,STAT 443,Time Series and Forecasting,3,3,,
STAT,447,C,STAT 447C,Special Topics in Statistics,3,3,,
STAT,450,,STAT 450,Case Studies in Statistics,3,3,,
